ID,LABEL,1984 Taylor Phillips 
0,1686 Newton,1998 Schwarz PhD
1,1798 Cavendish,1999 Gundlach et al 
2,1811 Poisson,2004 Gundlach Merkowitz
3,1856 Airy,2008 Biedermann
4,1878 von Jolly,2008 Poll
5,1881 von Jolly,2014 Quinn
6,1885 König Richarz,2014 Speake
7,1889 Boys,
8,1891 Cornu,
9,1894 Boys,
10,1894 Boys Erratum,
11,1894 Boys Nature I,
12,1894 Boys Nature II,
13,1894 Boys Nature III,
14,1895 Boys,
15,1896 Boys,
16,1896 Braun,
17,1898 Richarz-Krigarmenzel,
18,1901 Burgess,
19,1904 Take,
20,1918 Barus Gravitational,
21,1918 Barus Inteferometry,
22,1919 Barus Interaction,
23,1919 Barus Motion,
24,1919 Pekar,
25,1920 Barus,
26,1922 Barus Equilibium,
27,1922 Barus Experiments ,
28,1922 Barus Periods,
29,1922 Barus Static Log,
30,1922 Barus Static Vacuum,
31,1930 Eddington,
32,1930 Heyl,
33,1942 Heyl Chrzanowski,
34,1948 Teller,
35,1968 Nash Neeley Steger,
36,1969 Rose et al,
37,1971 Beams,
38,1971 Vinti,
39,1974 Long,
40,1975 Smalley,
41,1976 Luther et al ,"Luther, G.G., Towler, W.R., Deslattes, R.D., Lowry, R., and Beams J., 1976. Initial results from a new measurment of the Newtonian graviational constant. In: J.H. Sanders and A.H. Wapstra (editors), Atomic Masses and Fundamental Constants, Vol. 5. Plenum, New York. NY, pp. 592-598. "
42,1978 Akama et al,
43,1979 Greenberger,
44,1980 Canuto Hsieh,
45,1980 Cook,
46,1980 Farinella et al,
47,1980 Terazawa,
48,1981 McQueen,
49,1981 Stacey et al,
50,1982 Gillies,
51,1982 Kolosnitsyn ,
52,1982 Luther,"Luther, G.G., and Towler, W.R. (1982). Phys. Rev. Lett. 48, 121."
53,1983 Gillies ,
54,1986 Cohen,
55,1986 Hills,
56,1987 deBoer,
57,1987 Gillies,
58,1987 Nobili Milani Farinella,
59,1987 Stacey et al,
60,1987 Wright,
61,1988 Cook,
62,1988 Wu Wang,
63,1989 Kolosnitsn Ponomrev Frontov ,
64,1989 't Hooft,
65,1990 Hantzsche,
66,1990 Kolosnnitsyn ,
67,1991 Kolosnitsyn Melnikov,
68,1991 Sakharov,
69,1991 Soleng,
70,1991 Zumberge et al,
71,1992 Armstrong Fitzgerald,
72,1992 Sanders Deeds,
73,1993 Alekseev Bronnikov Kolosnitsyn Melnikov Radynov,
74,1993 Bronnikov Kolosnitsyn Yu Konstantinov Melnikov Radynov Measurment,
75,1993 Bronnikov Kolosnitsyn Yu Konstantinov Melnikov Radynov Numerical ,
76,1993 Kolosnitsyn Calibration,
77,1993 Kolosnitsyn Gravitaional ,
78,1993 Massa,
79,1993 Step,
80,1994 Alekseev Bronnikov Kolosnitsyn Melnikov Radynov,
81,1994 Bagley,
82,1994 Cornaz Hubler Kündig,
83,1994 Damour Polyakov,
84,1994 Fitzgerald,
85,1994 Kolosnitsyn ,
86,1994 Kolosnitsyn Sinenko Yunoshev,
87,1994 Kuendig,
88,1994 Sperling et al ,
89,1995 Arnet Klingele Staub,
90,1995 Fitzgerald,
91,1995 Hubler Cornaz Kündig,
92,1995 Kuroda,
93,1995 Michaelis Haars Augustin,
94,1995 Walesch Meyer Piel Schurr,
95,1995 Yu et al,
96,1996 Bagley Thesis,
97,1996 Barrow,
98,1996 Gundlach Adelberger Heckl Swanson,
